Full Name,First Name,Last Name,Gender,Space Flights,Space Flight Hours,Spacewalks,Spacewalk Hours,Alma Mater,Undergrad Major,Graduate Major,Achievement Count
Catherine G Coleman,Catherine,Coleman,Woman,3,4324,0,0,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,1
Charles A Bassett,Charles,Bassett,Not Found,0,0,0,0,Texas Technological College,Electrical Engineering,0,3
Charles Conrad,Charles,Conrad,Man,4,1179,4,12,Princeton University,Aeronautical Engineering,0,1
Charles D Gemar,Charles,Gemar,Man,3,581,0,0,US Military Academy,Engineering,0,1
Charles D Walker,Charles,Walker,Man,3,477,0,0,Purdue University,Aeronautical & Astronautical Engineering,0,1
Charles E Brady,Charles,Brady,Man,1,405,0,0,University of North Carolina at Chapel Hill; Duke University,0,Medicine,2
Charles F Bolden,Charles,Bolden,Man,4,680,0,0,US Naval Academy; University of Southern California,Electrical Science,Systems Management,1
Charles J Camarda,Charles,Camarda,Man,1,333,0,0,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,2
Charles J Precourt,Charles,Precourt,Man,4,950,0,0,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,1
Charles Lacy Veach,Charles,Veach,Man,2,436,0,0,US Air Force Academy,Engineering Management,0,2
Charles M Duke,Charles,Duke,Man,1,265,3,20,US Naval Academy; MIT,Naval Sciences,Aeronautics,1
Charles O Hobaugh,Charles,Hobaugh,Man,3,873,0,0,US Naval Academy,Aerospace Engineering,0,2
Christopher J Cassidy,Christopher,Cassidy,Man,3,4376,6,31,US Naval Academy; MIT,Mathematics,Ocean Engineering,1
Christopher J Ferguson,Christopher,Ferguson,Man,3,970,0,0,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,2
Christopher J Loria,Christopher,Loria,Not Found,0,0,0,0,US Naval Academy; Harvard University,Engineering,Public Administration,2
Clayton C Anderson,Clayton,Anderson,Man,2,4005,6,38,Hastings College; Iowa State University,Physics,Aerospace Engineering,2
Clifton C Williams,Clifton,Williams,Not Found,0,0,0,0,Auburn University,Mechanical Engineering,0,2
Curtis L Brown,Curtis,Brown,Man,6,1383,0,0,US Air Force Academy,Electrical Engineering,0,2
Dale A Gardner,Dale,Gardner,Man,2,336,2,12,University of Illinois,Engineering Physics,0,2
Daniel C Brandenstein,Daniel,Brandenstein,Man,4,789,0,0,University of Wisconsin,Mathematics & Physics,0,2
Daniel C Burbank,Daniel,Burbank,Man,3,4512,1,7,US Coast Guard Academy; Embry-Riddle Aeronautical University,Electrical Engineering,Aeronautical Science,1
Daniel M Tani,Daniel,Tani,Man,2,3162,6,39,MIT,Mechanical Engineering,Mechanical Engineering,1
Daniel T Barry,Daniel,Barry,Man,3,733,4,26,Cornell University; Princeton University; University of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,1
Daniel W Bursch,Daniel,Bursch,Man,4,5446,2,12,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,1
David A Wolf,David,Wolf,Man,4,4044,7,41,Purdue University; Indiana University,Electrical Engineering,Medicine,1
David C Hilmers,David,Hilmers,Man,4,494,0,0,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,1
David C Leestma,David,Leestma,Man,3,532,1,3,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,1
David M Brown,David,Brown,Man,1,382,0,0,College of William & Mary; Eastern Virginia Medical School,Biology,Medicine,1
David M Walker,David,Walker,Man,4,724,0,0,US Naval Academy,Naval Sciences,0,1
David R Scott,David,Scott,Man,3,546,4,19,US Military Academy; MIT,0,Aeronautics & Astronautics,3
Dominic A Antonelli,Dominic,Antonelli,Man,2,579,0,0,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,1
Dominic L Gorie,Dominic,Gorie,Man,4,1167,0,0,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,1
Don L Lind,Don,Lind,Man,1,168,0,0,University of Utah; University of California-Berkley,Physics,Nuclear Physics,1
Donald A Thomas,Donald,Thomas,Man,4,1040,0,0,Case Western Reserve University; Cornell University,Physics,Materials Science,2
Donald E Williams,Donald,Williams,Man,2,287,0,0,Purdue University,Mechanical Engineering,0,2
Donald H Peterson,Donald,Peterson,Man,1,120,1,4,US Military Academy; US Air Force Institute of Technology,0,Nuclear Engineering,2
Donald K Slayton,Donald,Slayton,Man,1,217,0,0,University of Minnesota,Aeronautical Engineering,0,2
Donald L Holmquest,Donald,Holmquest,Not Found,0,0,0,0,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,1
Donald R McMonagle,Donald,McMonagle,Man,3,605,0,0,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,1
Donald R Pettit,Donald,Pettit,Man,3,8872,2,13,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,1
Donn F Eisele,Donn,Eisele,Man,1,260,0,0,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,1
Dorothy M Metcalf-Lindenberger,Dorothy,Metcalf-Lindenberger,Not Found,1,362,0,0,Whitman College,Geology,0,1
Douglas G Hurley,Douglas,Hurley,Man,3,683,0,0,Tulane University,Civil Engineering,0,1
Douglas H Wheelock,Douglas,Wheelock,Man,2,4281,6,43,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,1
Duane E Graveline,Duane,Graveline,Not Found,0,0,0,0,University of Vermont; Johns Hopkins University,0,Public Health; Medicine,1
Duane G Carey,Duane,Carey,Man,1,262,0,0,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,2
E Michael Fincke,Michael,Fincke,Man,3,9159,9,48,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,2
Edgar D Mitchell,Edgar,Mitchell,Man,1,216,2,9,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,1
Edward G Gibson,Edward,Gibson,Man,1,2017,3,15,University of Rochester; California Institute of Technology,Engineering,Engineering,1
Edward G Givens,Edward,Givens,Not Found,0,0,0,0,US Naval Academy,Naval Sciences,0,1
Edward H White,Edward,White,Man,1,97,1,0.5,US Military Academy; University of Michigan,0,Aeronautical Engineering,1
Edward T Lu,Edward,Lu,Man,3,4962,1,6,Cornell University; Stanford University,Electrical Engineering,Applied Physics,2
