Name,SpaceFlights,FlightHours,Spacewalks,SpacewalkHours,SpaceFlights_Score,FlightHours_Score,Spacewalks_Score,SpacewalkHours_Score,OverallScore
Manley Lanier Carter Jr. ,120,0,0.0,0.0,50,50,50,100,50.0
John H. Casper,825,0,0.0,0.0,53,50,50,100,51.0
Christopher J. Cassidy,4376,6,31.0,0.0,67,80,73,100,79.0
Robert Cenker,146,0,0.0,0.0,51,50,50,100,50.0
Eugene A. Cernan,566,4,24.0,0.0,52,70,68,100,66.0
Roger B. Chaffee,0,0,0.0,0.0,50,50,50,100,50.0
Gregory E. Chamitoff,4770,2,13.0,0.0,69,60,60,100,67.0
Franklin R. Chang-Diaz,1602,3,19.0,0.0,56,65,64,100,64.0
Philip K. Chapman,0,0,0.0,0.0,50,50,50,100,50.0
Kalpana Chawla,734,0,0.0,0.0,53,50,50,100,51.0
Leroy Chiao,5503,6,36.0,0.0,71,80,77,100,82.0
Kevin P. Chilton,700,0,0.0,0.0,53,50,50,100,51.0
Laurel B. Clark,382,0,0.0,0.0,51,50,50,100,50.0
Mary L. Cleave,262,0,0.0,0.0,51,50,50,100,50.0
Michael R. Clifford,666,1,6.0,0.0,53,55,54,100,55.0
Michael L. Coats,463,0,0.0,0.0,52,50,50,100,51.0
Kenneth D. Cockrell,1548,0,0.0,0.0,56,50,50,100,53.0
Catherine G. Coleman,4324,0,0.0,0.0,67,50,50,100,58.0
Eileen M. Collins,890,0,0.0,0.0,53,50,50,100,51.0
Michael Collins,266,1,1.0,0.0,51,55,51,100,53.0
Charles Conrad Jr. ,1179,4,12.0,0.0,55,70,59,100,64.0
L. Gordon Cooper Jr. ,225,0,0.0,0.0,51,50,50,100,50.0
Richard O. Covey,645,0,0.0,0.0,53,50,50,100,51.0
Timothy J. Creamer,3917,0,0.0,0.0,65,50,50,100,57.0
John O. Creighton,404,0,0.0,0.0,52,50,50,100,51.0
Robert L. Crippen,565,0,0.0,0.0,52,50,50,100,51.0
Roger K. Crouch,471,0,0.0,0.0,52,50,50,100,51.0
Frank L. Culbertson Jr. ,3446,1,5.0,0.0,63,55,54,100,60.0
Walter Cunningham,260,0,0.0,0.0,51,50,50,100,50.0
Robert L. Curbeam Jr. ,902,7,45.0,0.0,54,85,84,100,79.0
Nancy J. Currie,999,0,0.0,0.0,54,50,50,100,52.0
N. Jan Davis,673,0,0.0,0.0,53,50,50,100,51.0
Lawrence J. Delucas,331,0,0.0,0.0,51,50,50,100,50.0
Alvin B. Drew Jr. ,613,2,13.0,0.0,52,60,60,100,59.0
Brian Duffy,977,0,0.0,0.0,54,50,50,100,52.0
Charles M. Duke Jr. ,265,3,20.0,0.0,51,65,65,100,62.0
Bonnie J. Dunbar,1207,0,0.0,0.0,55,50,50,100,52.0
Samuel T. Durrance,614,0,0.0,0.0,52,50,50,100,51.0
James P. Dutton Jr. ,362,0,0.0,0.0,51,50,50,100,50.0
Joe F. Edwards Jr. ,211,0,0.0,0.0,51,50,50,100,50.0
Donn F. Eisele,260,0,0.0,0.0,51,50,50,100,50.0
Anthony W. England,190,0,0.0,0.0,51,50,50,100,50.0
Joe H. Engle,224,0,0.0,0.0,51,50,50,100,50.0
Jeanette J. Epps,0,0,0.0,0.0,50,50,50,100,50.0
Ronald E. Evans Jr. ,301,1,1.0,0.0,51,55,51,100,53.0
John M. Fabian,316,0,0.0,0.0,51,50,50,100,50.0
Christopher J. Ferguson,970,0,0.0,0.0,54,50,50,100,52.0
Martin J. Fettman,336,0,0.0,0.0,51,50,50,100,50.0
Andrew J. Feustel,687,6,42.0,0.0,53,80,81,100,75.0
E. Michael Fincke,9159,9,48.0,0.0,86,95,86,100,99.0
Jack D. Fischer,0,0,0.0,0.0,50,50,50,100,50.0
Anna L. Fisher,191,0,0.0,0.0,51,50,50,100,50.0
William F. Fisher,170,2,12.0,0.0,51,60,59,100,58.0
C. Michael Foale,8970,4,22.0,0.0,85,70,66,100,81.0
Kevin A. Ford,3781,0,0.0,0.0,65,50,50,100,57.0
Michael J. Foreman,637,5,32.0,0.0,52,75,74,100,70.0
Patrick G. Forrester,950,4,25.0,0.0,54,70,69,100,67.0
Michael E. Fossum,4651,7,48.0,0.0,68,85,86,100,86.0
Theodore C. Freeman,0,0,0.0,0.0,50,50,50,100,50.0
Stephen N. Frick,566,0,0.0,0.0,52,50,50,100,51.0
